title,line,description,artists
MATERIAL HORSE,galloping through the planes,"Animation of the horse in motion piece, but in various material formats (crayon, marker, other types...) A reinvention of an old work into a new capacity","isabel li and ivan zhao (main pocs) and collaborators anna zhang, iris fung, david ye, sunaya, kelly neuner, emily bei cheng, kaylee jung, kanika rao!"
Slide Whistle Drone,"an acoustic drone instrument, move the sliders slowly to find palatable or spicy harmonies","A music instrument the size of a small chest.  It drones three notes constantly. Each note has independent volume and pitch control. At just the right fan speed the sound is soft and breathy, getting firmer and louder with more speed.",Chris Guichet
Stained glass pixels ,"An interactive animated stained glass panel that explores the tension between technology, surveillance, and religion",A stained glass panel with an eye with a monitor underneath that plays animation. Interactive elements like sound and tracking are involved in making the experience immersive,"Sophia Qin (MAIN POC); Mave Mendoza, Anna Zhang (CODE); Noah Aust (ANIMATION); Charles Brandt, Myko Huff, Erin Cole, Steven Keyes, Maya Stack, Dave Fowler (FABRICATION); Tyler Stoner (SOUND)."
Perception Paradox,You look at the clock to understand time — but you notice something's off ... is it the clock or you?,"Have you ever glanced at a clock, hoping time would speed up, only to feel it slow down instead? Perception Paradox is an interactive clock that slows whenever you look at it—exploring how observation changes experience and how time stretches when you try to hold onto it.","Ireen Jeang, Mackenzie Sharp"
Flop Mart,a mart of failed pop mart products,"this is what the gachapon team evolved into. we have 3 blindbox products that are going into a fake storefront. guests will trade a story about a moment of failure for a go on the gachapon machine. depending on what they roll, they'''ll get one of three products","bansini, amanda, diane, charlie, connie ye, daniel, + more"
The Weird Algorithm,parallel universe karaoke booth,"An interdimensional rhyme machine for exploring the vast possibility space of parody song lyrics. Choose any song and any text dataset, then try to sing fragments of that dataset matched syllable-for-syllable to the melody of that song. Featuring datasets sourced from Fidget Camp projects and workshops.",Jamie Brew
haptic garden,"touch the embedded bioplastic forms to activate layered tones — your interaction shapes a living soundscape within moss, and live/preserved flora","haptic garden is an interactive, multisensory installation featuring moss island floral displays and bioplastic objects embedded with fragments of flora. each object responds to touch, triggering tones that shift with the viewer’s engagement. interaction becomes composition, transforming physical presence into dynamic, user-generated soundscapes.","chris giang, kelly neuner, ireen jeang, amina green"
~ florilegium ~,a garden of visuals and verses,"In medieval times, monks collected inspiring passages about philosophy and living life well into florilegia: commonplace books that served as bouquets of literary and philosophical flowers, gathering words of wisdom to be shared with others and future generations. Today, these anthologies move beyond books to live in hybrid plant and digital forms.","Amina Green, Kelly Neuner, Jesse Wallace, Isa Pleno, chris giang, Sitoë Thiam, Nnenne Ogbonnaya, Valentina 廖"
Save Our Lower Right Inner,"The International Society for Lower Right Inner Pant Leg Safety (ISLRIPLS) is an organization devoted to increasing the safety and wellbeing of lower right inner pant legs the world over. For the Summer 2025 issue of the Journal of the ISLRIPLS, we held an interdisciplinary symposium of experts in the field of stopping bike gears from eating pant legs, seeking to address a problem commonly known as the Gear Attack Crisis.

In total, we created 10 prototype mitigations for the crisis, which include design-based, materials-based, fashion-based and religious-based solutions. Each entry includes a title, technical description and marketing tagline designed to encourage mass adoption. We encourage you to explore the prototypes and preview the bright future of lower right inner pant leg safety!
",,"Hanji Xu, Jamie Brew, Dave Fawler. Pants donner: Valentina, Dave, Taylor"
Random House Merch,"Surprise merch designed for random houses, to make people say "".... huh??""","Surprise merch designed for random houses, to make people say "".... huh??""","Daniel Knopf, Danielle Egan, Mackenzie Sharp, Bansini Doshi, Kay Bromley"
Big Tuna,,,"Kay Bromley, Maddy Chang, Iris Fung, Mason, Sophia + more"
Constellation Station,create your own constellations and write their myths or stories!,,"Sophia Diggs-Galligan, Marty, Heather Browning, Steven Keyes"
Team Dream,who wants to dream alone?,Fantastical imagery results from the interplay of attendees' actions and the intimate musings of a person in a phone booth.,"The Dream Team Team™:  Alex Kauffmann, Anna Brewer, Athena Leong, Connie Ye, Lucas Gelfond"
Save Timmy!,Timmy has fallen into the well!,"Save Timmy! Timmy is stuck in a well and will drown if we don't get him out. Showcase attendees find marbles hidden throughout the space and deposit them in the well to raise the water level, as well as spreading the word to others encourage them to find marbles.
",Steven Keyes
NO HORSES ALLOWED ,"There are no horses allowed here, except service horses.","This is a comically large no horses allowed sign. As a horse girl, this is ironic. Horses should be encouraged everywhere. ",Jesse Wallace
High Five,High Five! ,High Five ? ,"Ash Herr, Charlie Stigler"
Hand Soap ,,,Taylor Tabb 
tap dis tree,tap a tree. add a tree. steal a tree. lead someone on a scavenger hunt! share or exchange your favorite spot in SF.,Tapestry of SF laid out in a way that people can add trees with NFC tags that direct to site where they upload their favorite digs or a secret spot ,"Emily Bei Cheng, David Ye, Connie Liu"
fonk,*fonk* *fonk* *fonk*,a barrel of fonk that fonks when you try to touch the fonks.,"Alex Fiel, Hannah Lienhard, Sofia Chen, Tess Rinaldo"
help,let me out,tape monster,"Peregrine, JLee, Mason, Hannah, Tess, Amanda, Myko, Bansini, Alex, David, and everyone else I forgot"
Kolam: Beyond The Floor,"This kolam bridges wall and floor, adding new dimensions (literally) to a traditional South Indian art form.","Kolam is a traditional South Indian art form where intricate patterns are drawn using rice flour, chalk, or rock powder, typically on the ground at the entrance of homes. Created daily, kolams are both decorative and symbolic - welcoming guests, inviting prosperity, and offering food to small creatures like ants. Designs range from simple geometric patterns to complex, symmetrical arrangements based on a grid of dots.","Roopa Ramanujam, Sunaya Shivakumar"
Sugar Coat,"For when you need to sugar coat yourself, not just your words.",,Maya Stack
bioyarn handbag ,a handbag made from bioyarn - a sustainable algae based alternative to traditional textile production involving plastics,,Kanika Rao
creatures from another world ,touch and meet these creatures from other worlds,creatures made from the discards of bioyarn production and the workshop hosted for campers,Kanika Rao
confess for a confession,confess something to the system and the system will gift you a confession from a camper,made with windsurf!,Kanika Rao
meme generator,generate a meme,made with windsurf!,Kanika Rao
orange no. 47,scribble out your frustration with these politican-shaped crayons ,,"Hannah Lienhard, Alex Fiel, Bansini Doshi, Leia Chang"
S(h)ubspace,"A composite portrait of every Shub willing to attend a party for Shubs.
","One of the most fortunate—and bizarre—experiences I’ve had in San Francisco was attending a party where every attendee shared my name. Well, more or less.

“Shub,” meaning auspicious in several Indian languages, has sprouted a variety of permutations depending on region, gender, and family tradition: Shubham, Shubhankar, Shubhan, Shubha, and more.

Fortunately, I remembered that the human face occupies a linear subspace—a principle from computer vision suggesting that any collection of faces can be mathematically averaged into a single composite.

So I set out to create the Shubiest Shub of San Francisco. Or at least, of those Shubs willing to answer a random LinkedIn invitation and show up to a party.",Shubha Jagannatha
coax,A lamp that only lights up when properly persuaded.,,liz and bansini
Kamishibai Theater: Sumo Mice,Kamishibai was a popular form of storytelling in post-war Japan.,This is a folding cardboard triptych forming the paper theater stage. A projector shines on a paper screen from behind.,Charles Brandt
Holocards,Augmented reality greeting cards show you sympathetic holograms.,These are paper greeting cards. There is a QR code on them that takes the viewer to a website with an app that provides the AR hologram app.,Charles Brandt
Everything TV™,,Video channels made by different campers. Doesn't need a plaque description. ,"Marty Boren, Danielle Baskin, Taylor Tabb, Kelly Neuner, Sophia Qin, Erin Cole, Jamie Brew, Ash Herr, JLEE, Bansini, Mason, et al"
Etched Metal,These metal pieces were created using DIY saltwater etching.,Some metal objects with things etched on them.,Charles Brandt
Papercraft,These animals were made with kirigami or cut paper; the sister art to origami. Washi ningyo or paper dolls were popular in pre-industrial Japan. Older sisters would often make them for their younger siblings.,Assorted paper sculptures,Charles Brandt
Fish Scales,Beaded Fish Meets Interactive Instrument,"Handcrafted beaded fish become expressive musical interfaces, using capacitive touch and MAX/MSP to turn touch into sound.",Kaylee Jung
Grayscale Palette ,"As someone with one data science class' worth of Python skills, I vibe coded a tool to extract a color palette from a black and white photo.","8 Hours Vibe Coding to Automate Something That Takes Me 30 Seconds by Hand:
Reducing beautiful photos into aggregate color data. 

I have practically no coding experience, and I have worked with various tools to make a program to extract an aesthetic palette from a black and white photo. I could eyeball this in about 30 seconds.",Heather Browning
blind contour,i blind countour drew people and things i did throughout this week,each drawing was a one take where i didn't look down at the paper - and then i vibecoded (first time ever) a website to go along with it ,JLEE
lotus pod,this is the surface of a lotus pod,i carved the surface of a lotus pod,"mona, tess"
Ctrl Alt Del,ai musings on death,"giant 3D printed ctrl, alt, and delete keys that prompt ai generated poems on death","Nnenne Ogbonnaya, Sitoë Thiam"
you can rest here,pojagi patchwork floor cushions to recharge and engage your surroundings,i used all secondhand fabrics from local craft reuse stores to quilt floor cushion covers lined with the neon glow of el-wire,Sitoë Thiam
